,epoch,discriminator,discriminator (val),generator,Actual wasserstein-1 distance (Validation),Estimated Wasserstein-1 distance (Training),Estimated wasserstein-1 distance (Validation),Actual Wasserstein-2 distance,Mean Cond. Wasserstein-1 dist (Test),Mean Cond. Wasserstein-2 dist (Test)
0,20,-0.20749691128730774,-0.03336001932621002,0.4791090190410614,0.5245794,-0.10845465213060379,-0.04305608570575714,0.57082963,26.421324,27.572851
1,40,-0.13142496347427368,0.6107622981071472,2.0515904426574707,0.6122046,-0.07050567120313644,0.2333613485097885,0.6552851,39.95108,44.617985
2,60,-0.12301842123270035,-0.11543615907430649,2.990431547164917,0.17097071,-0.06685352325439453,-0.05531378462910652,0.21442954,9.963257,11.5552635
3,80,-0.3277447521686554,-0.15611369907855988,3.8549253940582275,0.16103794,-0.14730066061019897,-0.07455722987651825,0.18424147,9.864525,13.139674
4,100,-0.3201659619808197,0.024916812777519226,4.680671215057373,0.18422376,-0.16499917209148407,-0.037189267575740814,0.2246595,12.311357,15.745981
5,120,-0.13428223133087158,-0.19066841900348663,5.195097923278809,0.12162076,-0.09453194588422775,-0.1018156036734581,0.13819686,10.043997,12.766484
6,140,-0.3317025899887085,0.02657480537891388,4.424368381500244,0.118614435,-0.160760760307312,-0.04901834949851036,0.1505633,11.127063,12.761655
7,160,-0.14534294605255127,-0.0791267603635788,6.024296283721924,0.12674649,-0.060761213302612305,-0.03273216634988785,0.14308937,8.019678,9.438622
8,180,-0.22709758579730988,-0.10220171511173248,5.132531642913818,0.08200799,-0.11791802942752838,-0.051292404532432556,0.10609991,9.169615,10.241958
9,200,0.0027364566922187805,0.08140502870082855,6.322043418884277,0.24811685,-0.022358518093824387,0.016808699816465378,0.27756432,7.5052905,8.459308
10,220,-0.015103070065379143,-0.10244783014059067,7.419816493988037,0.07336262,-0.011812263168394566,-0.04171409830451012,0.093710475,8.62158,9.893614
11,240,-0.1032457947731018,-0.11920767277479172,6.4756340980529785,0.06759009,-0.05024360865354538,-0.045626018196344376,0.08765637,8.130833,9.214091
12,260,-0.12190902233123779,-0.09113019704818726,9.645020484924316,0.11986828,-0.053452156484127045,-0.04194417968392372,0.1478049,7.5142326,8.572434
13,280,-0.1256190538406372,-0.17903189361095428,11.051465034484863,0.062238675,-0.05856938660144806,-0.06981145590543747,0.07887633,7.324144,8.46473
14,300,-0.3139806091785431,-0.18796372413635254,12.006562232971191,0.06542285,-0.133759543299675,-0.06213220953941345,0.08107433,6.8622494,7.8340564
15,320,-0.34928616881370544,-0.33737775683403015,18.56552505493164,0.06230082,-0.13964764773845673,-0.10720474272966385,0.077276334,6.744097,7.7634406
16,340,-0.5603674054145813,-0.4869031012058258,24.481473922729492,0.07187958,-0.1723478138446808,-0.13808679580688477,0.09374665,7.0164227,7.9323187
17,360,-0.8243969678878784,-0.5508903861045837,32.636695861816406,0.06381244,-0.21375255286693573,-0.17126861214637756,0.07450597,6.2191815,7.1961083
18,380,-0.6284661889076233,-0.6328248977661133,33.927001953125,0.115626,-0.2139945775270462,-0.1646190583705902,0.15232809,6.0657015,6.772138
19,400,-0.7411995530128479,-0.7544580698013306,35.63240432739258,0.05728408,-0.2416997104883194,-0.2153419405221939,0.08173563,5.9760437,6.771196
20,420,-0.9247406721115112,-0.7029434442520142,40.93899154663086,0.15761288,-0.29800403118133545,-0.20765233039855957,0.2290335,5.9715405,6.703011
21,440,-0.8957067728042603,-0.7931255102157593,40.85026168823242,0.10945931,-0.3188389837741852,-0.22576068341732025,0.14150934,6.0505767,6.8453484
22,460,-0.94971764087677,-0.840221643447876,39.98100662231445,0.15529592,-0.3089516758918762,-0.2674000561237335,0.18977354,6.3572063,6.9306026
23,480,-0.716768741607666,-0.8409242630004883,42.053855895996094,0.13106571,-0.23328383266925812,-0.23458005487918854,0.15298799,6.4810863,7.2034492
24,500,-0.9299057722091675,-0.7888721227645874,45.31480026245117,0.21876532,-0.2918957769870758,-0.2157764732837677,0.2819112,5.880289,6.623685
25,520,-0.9630863666534424,-0.749758243560791,41.09161376953125,0.17053065,-0.28738588094711304,-0.25214117765426636,0.2396316,6.363623,7.04431
26,540,-0.7544968128204346,-0.852940022945404,40.53974151611328,0.18601139,-0.29158395528793335,-0.26577693223953247,0.20928149,6.519357,7.163126
27,560,-1.0275719165802002,-0.9078186750411987,36.688209533691406,0.16714776,-0.32921290397644043,-0.2461598962545395,0.21245894,5.744871,6.4507127
28,580,-0.7878632545471191,-0.9107519388198853,38.83734893798828,0.14327596,-0.28410622477531433,-0.25191304087638855,0.16225949,5.9252605,6.6370196
29,600,-0.9287042617797852,-0.9235069155693054,42.1689338684082,0.18116435,-0.26004523038864136,-0.2779683470726013,0.198471,6.9837666,7.728706
30,620,-0.9273613691329956,-0.7691043615341187,36.56045150756836,0.13862818,-0.31025969982147217,-0.23543551564216614,0.21862057,6.1835876,6.9465437
31,640,-0.9943767786026001,-0.9116787910461426,33.04886245727539,0.15887538,-0.28704819083213806,-0.2926703989505768,0.18657133,5.810577,6.6554747
32,660,-0.9726186394691467,-0.9287833571434021,32.89751052856445,0.1546892,-0.2920174300670624,-0.26035210490226746,0.20684412,5.85002,6.6823864
33,680,-0.8152913451194763,-0.9438074827194214,32.76692199707031,0.12607671,-0.24148428440093994,-0.2781616151332855,0.15776487,5.7341466,6.496561
34,700,-1.0018906593322754,-0.9700455665588379,31.082416534423828,0.20308188,-0.30366772413253784,-0.3040383756160736,0.25822496,5.832277,6.5700517
35,720,-1.0189180374145508,-0.8825036287307739,33.038700103759766,0.22738534,-0.3757752776145935,-0.2589331567287445,0.3297124,6.0648136,6.938712
36,740,-0.5927773714065552,-0.9774391651153564,26.97612762451172,0.25099725,-0.3063585162162781,-0.3035018742084503,0.27324536,8.032265,8.9299555
37,760,-1.0818016529083252,-0.8955769538879395,27.882347106933594,0.18761864,-0.33216598629951477,-0.2854819893836975,0.20191601,6.431563,7.200925
38,780,-0.9991403222084045,-0.9449477195739746,27.207992553710938,0.15916651,-0.3109751343727112,-0.2846846282482147,0.18323295,6.7349176,7.3236217
39,800,-1.2161070108413696,-0.9318591356277466,30.430124282836914,0.17897403,-0.35361987352371216,-0.2817060947418213,0.20715313,6.3822255,7.418093
40,820,-1.0579519271850586,-0.9386537075042725,26.56015968322754,0.25151592,-0.31716397404670715,-0.2877522110939026,0.29437086,7.634716,8.38187
41,840,-0.9004783034324646,-0.9064608812332153,23.6595458984375,0.18423843,-0.2794964015483856,-0.25960206985473633,0.24162173,5.8089104,6.571597
42,860,-0.8640596866607666,-0.9399637579917908,28.27895164489746,0.18740998,-0.310179203748703,-0.3031110167503357,0.23341937,6.866427,7.6505322
43,880,-1.0101494789123535,-0.9236080646514893,22.096435546875,0.15134367,-0.3308650851249695,-0.28091031312942505,0.18383786,6.1742916,7.065818
44,900,-0.8443797826766968,-1.0056685209274292,23.470014572143555,0.29530576,-0.252675324678421,-0.279352605342865,0.30824882,7.3632483,8.3558235
45,920,-1.015135645866394,-0.9327165484428406,24.18665885925293,0.118605234,-0.2988351583480835,-0.2768044173717499,0.14258623,5.8465548,6.697723
46,940,-1.0391665697097778,-0.9105638861656189,23.83380889892578,0.19550253,-0.32650649547576904,-0.26175665855407715,0.2183401,6.071952,6.987346
47,960,-0.996487557888031,-0.8515588641166687,23.266263961791992,0.13681288,-0.31627172231674194,-0.264717161655426,0.19658534,5.6785016,6.5072646
48,980,-0.9640438556671143,-0.8290034532546997,19.01097297668457,0.21080111,-0.29850244522094727,-0.26120972633361816,0.26327407,6.4072437,7.08528
49,1000,-0.9139489531517029,-0.8549525141716003,18.376089096069336,0.17990275,-0.28656816482543945,-0.2671835124492645,0.22006199,6.7250686,7.462122
50,1020,-1.0011990070343018,-0.7755519151687622,19.07159996032715,0.18683803,-0.30186739563941956,-0.22503726184368134,0.26159588,5.629273,6.3417554
51,1040,-0.7142709493637085,-0.8622137308120728,20.39759063720703,0.14117964,-0.2725532054901123,-0.26455965638160706,0.23004429,5.503772,6.272829
52,1060,-0.7667754888534546,-0.8516165018081665,16.6568660736084,0.18863623,-0.22038012742996216,-0.254035621881485,0.20706478,5.8085804,6.6274962
53,1080,-0.8828955888748169,-0.778687596321106,17.845035552978516,0.17859416,-0.2734944224357605,-0.25239819288253784,0.19599907,6.377306,7.2069926
54,1100,-0.8365315198898315,-0.8473484516143799,15.987849235534668,0.19988884,-0.3181958794593811,-0.2695562243461609,0.29327443,5.672152,6.4060473
55,1120,-0.8104628920555115,-0.8415957689285278,17.328380584716797,0.17425182,-0.2774386405944824,-0.26613906025886536,0.22893883,6.145598,6.9100184
56,1140,-0.8673989176750183,-0.8424515724182129,14.279691696166992,0.16114773,-0.2590380609035492,-0.24886706471443176,0.18460682,6.267364,7.0558147
57,1160,-0.8447675704956055,-0.8330610394477844,14.23904800415039,0.11280974,-0.24684853851795197,-0.23588381707668304,0.14370999,5.5796165,6.4096613
58,1180,-0.8937350511550903,-0.7828735113143921,17.92902374267578,0.14482513,-0.30855780839920044,-0.25911208987236023,0.22108878,5.2894955,6.1258545
59,1200,-0.7478450536727905,-0.7813409566879272,14.187070846557617,0.16683814,-0.26446473598480225,-0.24835555255413055,0.21508506,5.371478,6.1277184
60,1220,-0.6875717639923096,-0.7239178419113159,11.595072746276855,0.24148914,-0.23155835270881653,-0.22684946656227112,0.24712926,6.902319,7.7336426
61,1240,-0.5923373699188232,-0.7417317628860474,8.442315101623535,0.1641587,-0.1832631379365921,-0.21838350594043732,0.18120761,5.4869995,6.4358253
62,1260,-0.8260025978088379,-0.409281462430954,0.8416159152984619,0.25265804,-0.3150802552700043,-0.18516239523887634,0.2867459,8.571731,9.125678
63,1280,-0.619930624961853,-0.5521974563598633,12.716951370239258,0.19082396,-0.21679699420928955,-0.18236298859119415,0.21463561,6.996671,7.8449135
64,1300,-0.43923479318618774,-0.5484944581985474,7.61535120010376,0.13377865,-0.17559444904327393,-0.1878959834575653,0.1670665,4.4772944,5.2924323
65,1320,-0.37371671199798584,-0.43725281953811646,10.219433784484863,0.1016975,-0.14307720959186554,-0.15536931157112122,0.12959751,4.593803,5.542724
66,1340,-0.4514508843421936,-0.36688023805618286,12.35088062286377,0.16165167,-0.19120745360851288,-0.13744871318340302,0.23828928,4.4088364,5.266313
67,1360,-0.4276931583881378,-0.26314157247543335,11.579572677612305,0.12097649,-0.17774313688278198,-0.10436274111270905,0.17605701,3.6801953,4.5495644
68,1380,-0.3256552815437317,-0.25331565737724304,12.060752868652344,0.12899023,-0.16412414610385895,-0.08867992460727692,0.14189966,5.1532435,6.039387
69,1400,-0.3170163631439209,-0.2027469426393509,14.240561485290527,0.14001063,-0.12457410246133804,-0.07076830416917801,0.14333148,5.5817327,6.3998194
70,1420,-0.26330703496932983,-0.21362264454364777,12.958273887634277,0.09631581,-0.11660171300172806,-0.09096753597259521,0.11953544,3.4334044,4.1837316
71,1440,-0.24307334423065186,-0.2240384817123413,13.019684791564941,0.10848924,-0.11582109332084656,-0.07552918791770935,0.11293631,4.227485,5.1238127
72,1460,-0.3947236239910126,-0.12862612307071686,8.022663116455078,0.16523069,-0.15393194556236267,-0.06125188246369362,0.18352723,7.3295054,7.939253
73,1480,-0.19464826583862305,-0.1754981279373169,17.47153091430664,0.25239718,-0.11393383890390396,-0.07650182396173477,0.25976568,10.5779295,11.013359
74,1500,-0.1970970630645752,-0.18418632447719574,15.954668998718262,0.04185093,-0.08830104023218155,-0.06561294198036194,0.052394595,3.4099438,4.1469283
75,1520,-0.23909150063991547,-0.18390440940856934,12.281682014465332,0.05010008,-0.10688572376966476,-0.07079876959323883,0.06438843,3.1651633,3.8166592
76,1540,-0.1815660297870636,-0.20366603136062622,13.61623764038086,0.052155286,-0.08579627424478531,-0.0836247056722641,0.060043186,2.9704084,3.6104903
77,1560,-0.23467791080474854,-0.18820950388908386,13.758423805236816,0.14169878,-0.09975824505090714,-0.0674315094947815,0.1453947,5.7905407,6.3915057
78,1580,-0.292181134223938,-0.08574371039867401,11.393908500671387,0.10224577,-0.10846634954214096,-0.0416296124458313,0.111954436,5.3061438,5.903262
79,1600,-0.1801418662071228,-0.1814439445734024,16.253250122070312,0.062010527,-0.06324798613786697,-0.06934670358896255,0.07210721,3.909021,4.522538
80,1620,-0.2634758949279785,-0.04837029054760933,12.580610275268555,0.20881318,-0.12621892988681793,-0.026779139414429665,0.21072854,6.6436024,7.173868
81,1640,-0.18179726600646973,-0.1625996232032776,12.878765106201172,0.031531934,-0.08496016263961792,-0.06596584618091583,0.03856008,2.9685912,3.623156
82,1660,-0.15836405754089355,-0.16069668531417847,12.816144943237305,0.04094632,-0.06821723282337189,-0.06677018851041794,0.053999063,3.5752978,4.1320324
83,1680,-0.16349180042743683,-0.13309335708618164,11.55078125,0.061457146,-0.07899726927280426,-0.05205526575446129,0.06506297,3.475174,4.077837
84,1700,-0.20953643321990967,-0.10021081566810608,10.971628189086914,0.12807842,-0.09268606454133987,-0.04187551513314247,0.13391437,5.0588,5.565091
85,1720,-0.1948259323835373,-0.1293550580739975,11.727212905883789,0.046090614,-0.09475549310445786,-0.0576818510890007,0.05842568,3.3178968,3.9196806
86,1740,-0.25575822591781616,-0.0577123798429966,8.645355224609375,0.12135415,-0.1067768856883049,-0.034224700182676315,0.1435224,2.951127,3.4693067
87,1760,-0.14911621809005737,-0.12676599621772766,9.044191360473633,0.0829053,-0.07329609245061874,-0.05751810222864151,0.10486814,2.676796,3.227637
88,1780,-0.24205514788627625,-0.0972633808851242,8.77688217163086,0.045255687,-0.10209247469902039,-0.04763803631067276,0.058637463,3.4355521,3.9833796
89,1800,-0.20021143555641174,-0.10636772215366364,7.7086181640625,0.06631591,-0.10065579414367676,-0.04757558926939964,0.073826,3.4488604,3.9615333
90,1820,-0.23543044924736023,-0.12122540920972824,9.38886547088623,0.08850048,-0.09477891772985458,-0.04854707419872284,0.093596704,4.5443764,5.057124
91,1840,-0.20684586465358734,-0.06365318596363068,7.884087562561035,0.09891883,-0.09158717840909958,-0.034911468625068665,0.108547606,5.616482,6.051006
92,1860,-0.15203243494033813,-0.10232808440923691,7.397860527038574,0.039570305,-0.07714750617742538,-0.04479999095201492,0.046380736,2.3581734,2.8544004
93,1880,-0.21196746826171875,-0.010529812425374985,7.388206481933594,0.22634014,-0.08422939479351044,-0.01278710924088955,0.22881389,6.9468017,7.2770414
94,1900,-0.14715847373008728,-0.0901988297700882,7.757254600524902,0.12025361,-0.05762806162238121,-0.04312412813305855,0.13168216,2.5240138,3.0230122
95,1920,-0.16881105303764343,-0.080881267786026,4.505467891693115,0.056668453,-0.07791933417320251,-0.0351075753569603,0.06439354,2.3343518,2.8530111
96,1940,-0.17369848489761353,-0.10686001181602478,5.840077877044678,0.0520882,-0.08487170934677124,-0.044733189046382904,0.06036144,2.311839,2.8090153
97,1960,-0.13179057836532593,-0.09334953129291534,8.953972816467285,0.10026722,-0.06915123015642166,-0.037697888910770416,0.11644982,2.3134818,2.748822
98,1980,-0.20196473598480225,-0.10973896086215973,7.4752116203308105,0.024495138,-0.09361689537763596,-0.04241582006216049,0.034944825,2.6122444,3.102065
99,2000,-0.1874799281358719,-0.07662008702754974,4.92716121673584,0.12713277,-0.08770712465047836,-0.038958702236413956,0.12959678,3.5970712,4.149267
100,2020,-0.212930828332901,-0.08507700264453888,8.746163368225098,0.12119305,-0.09210219979286194,-0.040389273315668106,0.1259545,3.3840384,3.9282706
101,2040,-0.17742837965488434,-0.023394931107759476,4.004904747009277,0.10462693,-0.08780394494533539,-0.022823859006166458,0.12961112,2.9245548,3.304998
102,2060,-0.22002893686294556,-0.050388503819704056,4.12382173538208,0.1167255,-0.11097266525030136,-0.02899014577269554,0.15126644,2.353431,2.7661831
103,2080,-0.14885731041431427,-0.09155067801475525,6.4805908203125,0.032556128,-0.07040532678365707,-0.044824276119470596,0.040708955,2.191491,2.6680984
104,2100,-0.1845683753490448,-0.04668879881501198,4.646061897277832,0.108308986,-0.0794634148478508,-0.025840140879154205,0.116491884,2.4384406,2.9100895
105,2120,-0.12475073337554932,-0.08580242097377777,6.501067161560059,0.06635664,-0.06950104236602783,-0.04085219278931618,0.07688632,2.3736908,2.8362684
106,2140,-0.16076281666755676,-0.043481770902872086,5.212806701660156,0.101398796,-0.07872244715690613,-0.024675197899341583,0.11371268,2.3715496,2.85619
107,2160,-0.16132332384586334,-0.10120889544487,5.7357096672058105,0.10887969,-0.0768408551812172,-0.04680086672306061,0.12498178,2.4439452,2.942412
108,2180,-0.1948702484369278,-0.03081616759300232,3.2824010848999023,0.07209926,-0.09358648955821991,-0.023073280230164528,0.07689173,3.2062533,3.6732187
109,2200,-0.18782350420951843,-0.04718165844678879,4.014626502990723,0.101312004,-0.1027752012014389,-0.026570506393909454,0.12220371,2.239374,2.6707325
110,2220,-0.07813908159732819,-0.08270596712827682,5.547191619873047,0.15267047,-0.05555060878396034,-0.030910372734069824,0.17123897,2.57993,2.9923089
111,2240,-0.1549379974603653,-0.08078023046255112,5.460263729095459,0.019511448,-0.06661363691091537,-0.03518880903720856,0.026387062,2.4089615,2.855355
112,2260,-0.10768745094537735,-0.10057003796100616,3.492967367172241,0.027774606,-0.057226259261369705,-0.041072774678468704,0.035968505,2.4243999,2.8770325
113,2280,-0.1632356196641922,-0.06479588896036148,2.996450662612915,0.071169935,-0.07158873230218887,-0.032615937292575836,0.07558543,3.6160471,4.0263057
114,2300,-0.15267972648143768,-0.10858672112226486,5.660898208618164,0.024283763,-0.06769353896379471,-0.04305204376578331,0.0310312,2.6475708,3.0790017
115,2320,-0.14497466385364532,-0.05463841184973717,5.446809768676758,0.08515995,-0.07502114772796631,-0.024536116048693657,0.08934815,3.7118664,4.1055107
116,2340,-0.1355048418045044,-0.0649627074599266,4.545111179351807,0.11633424,-0.07314365357160568,-0.03305908292531967,0.13870397,2.5157526,2.9343107
117,2360,-0.13882675766944885,-0.06397886574268341,4.803771018981934,0.12540764,-0.06145455315709114,-0.03348842263221741,0.13347976,3.0357313,3.486233
118,2380,-0.08960390090942383,-0.07000367343425751,2.394319772720337,0.053880673,-0.0487293042242527,-0.03316079080104828,0.060838953,3.1443284,3.534293
119,2400,-0.12620851397514343,-0.06059282273054123,3.231919527053833,0.05839064,-0.06063803657889366,-0.03104204311966896,0.06737709,2.7310586,3.153703
120,2420,-0.1304859071969986,-0.06736359000205994,4.933080196380615,0.071027845,-0.06943833827972412,-0.03184746205806732,0.07572681,2.130364,2.5309541
121,2440,-0.12560945749282837,-0.05598181486129761,3.1016008853912354,0.053178787,-0.062357347458601,-0.025554856285452843,0.068477474,2.1948998,2.5877926
122,2460,-0.1173088327050209,-0.06694034487009048,3.247431516647339,0.044961277,-0.05729475989937782,-0.03383593261241913,0.053775143,2.102329,2.4932547
123,2480,-0.21543613076210022,-0.01726490631699562,3.370941400527954,0.07264278,-0.09086977690458298,-0.01771867647767067,0.092312045,2.293871,2.6827013
124,2500,-0.10277548432350159,-0.06558708101511002,2.399181365966797,0.054613516,-0.04440508037805557,-0.03047013096511364,0.06108896,3.1943045,3.5549188
125,2520,-0.18341651558876038,-0.012867102399468422,2.7485575675964355,0.116717406,-0.08029796928167343,-0.014073084108531475,0.119716875,4.079161,4.455254
126,2540,-0.15122057497501373,-0.0405397042632103,3.144321918487549,0.08973387,-0.06302740424871445,-0.02482982538640499,0.09344972,3.4058356,3.799704
127,2560,-0.10714028775691986,-0.050858356058597565,3.6859004497528076,0.033275273,-0.06095610558986664,-0.026686301454901695,0.042629577,2.4526954,2.8447843
128,2580,-0.12118465453386307,-0.06439609825611115,3.028799295425415,0.02713624,-0.0641358494758606,-0.029726563021540642,0.03673091,2.113526,2.5138552
129,2600,-0.102833092212677,-0.05685451254248619,4.6624932289123535,0.020808702,-0.05413440614938736,-0.029719019308686256,0.03153722,2.0037034,2.4319472
130,2620,-0.1172686219215393,-0.06683917343616486,5.079381942749023,0.031613614,-0.05876806005835533,-0.029006075114011765,0.03768005,2.2331715,2.6474137
131,2640,-0.12595002353191376,-0.04292985051870346,1.9512690305709839,0.043178603,-0.06312008202075958,-0.021442502737045288,0.047566332,2.464833,2.8873653
132,2660,-0.15646734833717346,-0.021842217072844505,4.86704683303833,0.078156255,-0.06326013803482056,-0.017433976754546165,0.08208596,2.3921652,2.8092937
133,2680,-0.16013318300247192,-0.042544782161712646,-0.3239876627922058,0.08673632,-0.05712517723441124,-0.02285004034638405,0.092981026,2.2010183,2.5722742
134,2700,-0.150259330868721,-0.026775546371936798,3.1902806758880615,0.019027112,-0.05473916605114937,-0.019031938165426254,0.024739746,2.3454163,2.7073245
135,2720,-0.10964125394821167,-0.05724506080150604,1.7671146392822266,0.10488097,-0.06820643693208694,-0.028602398931980133,0.110079184,2.5186486,2.8884194
136,2740,-0.16242197155952454,-0.024014826864004135,0.2939097285270691,0.09706652,-0.08856731653213501,-0.016908880323171616,0.10576243,5.499335,5.7723217
137,2760,-0.16036370396614075,-0.011377979069948196,3.227440118789673,0.13086396,-0.06538227945566177,-0.014413873665034771,0.13539809,4.305824,4.608473
138,2780,-0.11884477734565735,-0.025036336854100227,2.1650748252868652,0.0948955,-0.05783296003937721,-0.01410597376525402,0.09777369,3.0904408,3.470408
139,2800,-0.09534497559070587,-0.050081588327884674,1.1686140298843384,0.06918253,-0.04974696412682533,-0.023377222940325737,0.07480235,2.0631406,2.436135
140,2820,-0.11604844778776169,-0.036910898983478546,3.3435463905334473,0.069807,-0.059853315353393555,-0.022534232586622238,0.07352609,3.0912995,3.4744723
141,2840,-0.1023007407784462,-0.06824831664562225,2.304426670074463,0.028424868,-0.05560366436839104,-0.03032081387937069,0.034866527,2.352168,2.719014
142,2860,-0.12557955086231232,-0.0401521772146225,1.8271554708480835,0.10053574,-0.06826955825090408,-0.023248497396707535,0.109948575,2.523385,2.8682966
143,2880,-0.13137924671173096,-0.013068567961454391,2.191964864730835,0.047906313,-0.06601759791374207,-0.012984399683773518,0.060966425,2.1834807,2.5804222
144,2900,-0.1227828785777092,-0.03234579414129257,2.6238226890563965,0.045017198,-0.058080416172742844,-0.018124591559171677,0.0519165,2.9673204,3.3152268
145,2920,-0.1633618324995041,0.001971449702978134,0.41722816228866577,0.109946914,-0.07224848121404648,-0.010817764326930046,0.115400136,4.110389,4.411699
146,2940,-0.09745067358016968,-0.04802089184522629,1.389400601387024,0.02842197,-0.039014142006635666,-0.0273872222751379,0.039700873,2.1645734,2.503776
147,2960,-0.10193590074777603,-0.08562567830085754,-0.8020657300949097,0.051509038,-0.07359752058982849,-0.03541378304362297,0.061216284,2.59088,2.9540744
148,2980,-0.1295209527015686,-0.024276437237858772,1.4838149547576904,0.025815694,-0.06323384493589401,-0.01534123346209526,0.038999576,2.4071152,2.7386627
149,3000,-0.12947407364845276,-0.04103666543960571,-2.4088053703308105,0.035150144,-0.06405550986528397,-0.02229476347565651,0.03933152,2.0013375,2.3455312
150,3020,-0.0765589028596878,-0.03706582635641098,0.22684897482395172,0.05483313,-0.03698515519499779,-0.016514698043465614,0.059179213,2.653258,2.9955432
151,3040,-0.1318417191505432,0.003845721483230591,1.5490188598632812,0.07978616,-0.06484901905059814,-0.008410093374550343,0.085695125,2.122864,2.4726086
152,3060,-0.09216533601284027,-0.038076095283031464,1.2253332138061523,0.029549079,-0.04829036071896553,-0.0205069649964571,0.03544652,2.57578,2.9083931
153,3080,-0.11296101659536362,-0.001291843131184578,-0.8842403888702393,0.093482465,-0.05831463262438774,-0.007260158192366362,0.09658318,3.3288271,3.641847
154,3100,-0.08591677993535995,-0.03748993203043938,0.2789058983325958,0.050518557,-0.04920712485909462,-0.0202739667147398,0.052895866,2.3257055,2.6877103
155,3120,-0.12554658949375153,-0.03484285995364189,-0.7854222655296326,0.031041358,-0.058131929486989975,-0.019606541842222214,0.04366302,2.413144,2.7512956
156,3140,-0.1540919989347458,-0.008920887485146523,-2.195033073425293,0.051943142,-0.06962598115205765,-0.01212296076118946,0.06307282,2.2477152,2.5793447
157,3160,-0.07956252992153168,-0.028411151841282845,-0.9000022411346436,0.050730262,-0.035823337733745575,-0.016661426052451134,0.059203573,2.2141378,2.5392349
158,3180,-0.0859791710972786,-0.055024534463882446,-0.4345705211162567,0.02474672,-0.046867575496435165,-0.023432424291968346,0.031788316,1.709372,2.041986
159,3200,-0.1186976432800293,-0.029152750968933105,1.8018549680709839,0.0654155,-0.04699576646089554,-0.01635243557393551,0.06846022,2.574502,2.9208214
160,3220,-0.1472175270318985,0.02634311281144619,-0.019481634721159935,0.029184394,-0.05435480549931526,-1.4845046280242968e-05,0.04099041,3.0322285,3.3351486
161,3240,-0.14316850900650024,-0.0049422383308410645,-1.3603240251541138,0.06089208,-0.0693487673997879,-0.008366821333765984,0.06554742,3.1737013,3.515693
162,3260,-0.10485890507698059,-0.054748255759477615,-2.5664477348327637,0.028347114,-0.05018310993909836,-0.025783708319067955,0.03754366,2.0577238,2.4275196
163,3280,-0.08662466704845428,-0.031042031943798065,-0.12092523276805878,0.08267654,-0.03313511610031128,-0.01601279340684414,0.0860203,2.574163,2.9073105
164,3300,-0.11997979134321213,-0.025353537872433662,1.4776077270507812,0.040109623,-0.056183647364377975,-0.016199147328734398,0.047348175,2.7764325,3.128341
165,3320,-0.16860158741474152,-0.027009526267647743,-1.1500053405761719,0.0764727,-0.0699860081076622,-0.017158489674329758,0.080374144,2.8079746,3.1154025
166,3340,-0.10296490043401718,-0.03589717298746109,-0.7541986107826233,0.03777965,-0.04777700826525688,-0.02015097811818123,0.043262422,1.8626767,2.2251596
167,3360,-0.15924392640590668,-0.00677051767706871,-0.7679229378700256,0.035471678,-0.0723617672920227,-0.009883574210107327,0.04708115,2.2237732,2.5039587
168,3380,-0.10082630813121796,-0.027948789298534393,-0.6501516699790955,0.031821426,-0.045482441782951355,-0.01839565485715866,0.03951791,1.8903157,2.2061164
